seed,semeion_train_ratio,semeion_train_size,semeion_test_size,method,loss,accuracy,correct,total
69,0.2,318,1275,OTDD,0.6745833331463383,0.3474509803921569,443,1275
69,0.4,637,956,full_zero_shot,0.4360537835743637,0.3797071129707113,363,956
69,0.4,637,956,random_zero_shot,0.7491391887225866,0.1307531380753138,125,956
69,0.4,637,956,KNN,0.6558142477747786,0.3493723849372385,334,956
69,0.4,637,956,OT,0.6576901676764548,0.3389121338912134,324,956
69,0.4,637,956,OTDD,0.6607282563233475,0.3587866108786611,343,956
123,0.1,159,1434,full_zero_shot,0.4446411667342299,0.3737796373779637,536,1434
123,0.1,159,1434,random_zero_shot,0.7491810147233587,0.1290097629009763,185,1434
123,0.1,159,1434,KNN,0.7362308803130061,0.3417015341701534,490,1434
123,0.1,159,1434,OT,0.6838378009270757,0.3458856345885635,496,1434
123,0.1,159,1434,OTDD,0.6779623275188887,0.3668061366806137,526,1434
123,0.2,318,1275,full_zero_shot,0.4397704659256281,0.3788235294117647,483,1275
123,0.2,318,1275,random_zero_shot,0.747347095152911,0.13176470588235295,168,1275
123,0.2,318,1275,KNN,0.688406088959937,0.3466666666666667,442,1275
123,0.2,318,1275,OT,0.6753837604148715,0.3537254901960784,451,1275
123,0.2,318,1275,OTDD,0.6541793255712471,0.37254901960784315,475,1275
123,0.4,637,956,full_zero_shot,0.4454743786087595,0.37552301255230125,359,956
123,0.4,637,956,random_zero_shot,0.7374160309715749,0.13807531380753138,132,956
123,0.4,637,956,KNN,0.6989233914030147,0.34414225941422594,329,956
123,0.4,637,956,OT,0.6935480657232357,0.3368200836820084,322,956
123,0.4,637,956,OTDD,0.6866079719121486,0.35564853556485354,340,956
456,0.1,159,1434,full_zero_shot,0.441601551393751,0.3716875871687587,533,1434
456,0.1,159,1434,random_zero_shot,0.7571297450045661,0.12761506276150628,183,1434
456,0.1,159,1434,KNN,0.7057878449039645,0.32357043235704325,464,1434
456,0.1,159,1434,OT,0.6937667339250466,0.33542538354253837,481,1434
456,0.1,159,1434,OTDD,0.6811550461597522,0.34658298465829845,497,1434
456,0.2,318,1275,full_zero_shot,0.4509594023461435,0.36392156862745095,464,1275
456,0.2,318,1275,random_zero_shot,0.7637840929218367,0.12313725490196079,157,1275
456,0.2,318,1275,KNN,0.7615592679790422,0.3035294117647059,387,1275
456,0.2,318,1275,OT,0.710389274709365,0.3207843137254902,409,1275
456,0.2,318,1275,OTDD,0.6843361996669395,0.3458823529411765,441,1275
456,0.4,637,956,full_zero_shot,0.4554284072820113,0.35460251046025104,339,956
456,0.4,637,956,random_zero_shot,0.7677525571200638,0.12238493723849372,117,956
456,0.4,637,956,KNN,0.6866942462063235,0.3179916317991632,304,956
